Provinsi;Indeks Kebahagiaan;Kesehatan;Pendidikan;Keharmonisan Keluarga;Ketersediaan Waktu Luang;Hubungan Sosial;Keadaan Lingkungan;Kondisi Keamanan;Pekerjaan;Pendapatan Rumah Tangga;Kondisi Rumah dan Aset
Aceh;67.48;68.56;59.28;79;71.8;74.65;73.23;77.23;64.75;61.98;64.37
Sumatera Utara;67.65;69.12;57.76;77.48;71.33;73;73.63;76.11;63.2;61.98;65.76
Sumatera Barat;66.79;67.65;57.04;78.87;69.42;73.1;74.48;77.03;64.21;61.43;63.92
Riau;68.85;70.48;57.01;80.93;73.16;74.93;72.33;75.06;65.78;63.36;66.75
Jambi;71.1;71.74;60.6;81.86;74.07;76.79;76.08;79.45;69.23;66.4;68.53
Sumatera Selatan;67.76;69.96;58.88;80.89;72.39;74.05;72.76;73.79;64.89;61.79;64.45
Bengkulu;67.43;67.74;56.36;80.64;71.17;75.31;75.15;78.01;63.2;58.18;60.43
Lampung;67.92;70.05;56.07;80.25;72.33;74.76;77.14;74.78;65.25;62.54;63.95
Kep. Bangka Belitung;68.45;68.88;57.07;77.94;71.83;72.98;76.32;78.22;65.14;63.01;67.69
Kep.Riau;72.42;75.28;62.51;83.87;74.47;76.5;75.34;79.36;72.37;68.75;72.81
DKI Jakarta;69.21;70.83;62.72;77.77;71.64;72.31;70.59;72.92;68.92;65.56;69.66
Jawa Barat;67.66;68.66;57.68;78.31;71.32;73.42;74.24;75.12;64.79;62.04;64.15
Jawa tengah;67.81;69.83;57.69;77.65;70.88;74.38;75.01;77.4;65.07;62.16;63.74
DI Yogyakarta;70.77;72.59;62.63;81.03;72.01;77.02;76.3;78.35;68.38;65.18;68.59
Jawa Timur;68.7;70.61;58.89;78.05;72.03;74.18;76.86;77.85;66.28;64.1;65.87
Banten;68.24;69.4;58.28;78.7;70.86;72.97;74.37;74.73;65.01;63;65.04
Bali;68.46;70.14;59.49;79.71;68.42;74.02;76.37;79.97;69.29;64.09;66.04
Nusa Tenggara Barat;69.28;69.72;54.83;80.94;73.37;77.38;78.06;78.1;65.94;62.08;62.23
Nusa Tenggara Timur;66.22;64.44;56.05;78.31;70.41;75.18;74.37;77.17;64.51;58.22;57.27
Kalimantan Barat;67.97;68.4;55.61;79.62;71.64;75.44;72.39;78.84;65.36;63.07;64.98
Kalimantan Tengah;70.01;70.92;60.69;82.36;73.36;76.42;75.63;79.85;67.96;65.54;66.17
Kalimantan Selatan;70.11;71.88;60.69;80.98;73.25;75.41;74.29;77.79;67.67;66.16;67.31
Kalimantan Timur;71.45;72.14;62.32;81.04;73.93;75.09;73.37;77.87;70.11;68.2;71.69
Kalimantan Utara;;;;;;;;;;;
Sulawesi Utara;70.79;70.74;63.33;80.28;72.51;76.07;76.11;76.93;70.71;66.2;68.12
Sulawesi Tengah;67.92;67.91;58.44;81.57;72.7;77.59;73.86;77.35;66.38;61.41;62.68
Sulawesi Selatan;69.8;70.51;56.28;81.75;74.93;76.05;77.31;79.82;68.3;64.21;65.45
Sulawesi Tenggara;68.66;68.26;54.43;81.34;73.27;77.13;75.79;79.21;67.04;63.42;61.25
Gorontalo;69.28;65.75;60.38;82.37;73.15;78.11;71.83;77.82;69.16;62.89;63.2
Sulawesi Barat;67.86;67.84;52.75;80.3;72.36;76.78;75.16;79.32;66.41;60.94;57.7
Maluku;72.12;73.67;65.3;82.97;73.46;78.13;79.21;81.75;73.42;68.35;69.56
Maluku Utara;70.55;70.95;62.18;80.42;75.38;76.59;74.86;76.35;69.97;68.2;67.44
Papua Barat;70.45;72.26;61.39;80.24;72.24;75.92;75.65;76.85;69.96;66.9;65.65
Papua;60.97;67.06;50.91;71.48;67.37;68.91;69.75;69.48;61.66;60.48;56.01
